Form Control,State,Excluding State,Form Type,Form Type Description,Form Name,Form Number,Form Priority,Form Key,Form Version,Filed Form Number,Location,Docusign Link,Form Status,Start Date,End Date,Interview ID,Auth Combined,Application Combined,Policy Combined,Policy Packet,Producer Combined,Illustration Combined,Form Owner,Insured/Applicant/Owner Name & Signature,Ethos Agent Signature,Carrier Signature,Ethos Address,Carrier Address,Field Mapping,Internal Doc Type,External Doc Type,Acord Doc Type,External Doc Control,External Form Description,Business Rule,Notes,Required Fields,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,VA,Policy Receipt,,Policy Delivery Receipt,LU-1185 (9-15),12.8,b7e4a95d-38f6-4ebf-9cb8-dd3a338849bb,,,LU-1185 (9-15),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",VA,,Endorsement,,ENDORSEMENT - VIRGINIA,LU1306-VA,12.8,8ce83858-4484-470e-b601-465546bcbfd0,,,LU1306-VA,Link,Implemented,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI","IA, NV, NC, OR, UT, WV, WA",,Disclosure,,Small Face Amount Life Insurance Disclosure,ETH25 - SFD,12.9,00f84765-340b-4aab-87c9-e638c746a61d,,,ETH25 - SFD,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,Y,N,N,Y,Y,Y,,,,,,"- IA, NV, NC, OR, UT: $15,000 Face Amount or less
- WV: $25,000 Face Amount or or less
- WA: less than $5,000 Face Amount
",,,,,,,,,,,,,,,,,,
Banner_FEGI,Compact,"CA, SC, FL",Contract Pages,,[Policy Contract Pages - Part 1],ICC25-GIWL,13.0,dd0bed79-1059-408c-8344-1ed2d69e8b59,,,ICC25-GIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,SC,,Contract Pages,,[Policy Contract Pages - Part 1],SC25-GIWL,13.0,fc48a14c-a560-4b82-af7b-dee6646d13bf,,,SC25-GIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,FL,,Contract Pages,,[Policy Contract Pages - Part 1],FL25-GIWL,13.0,87b4eb73-ece4-4f8d-8086-ce8e4aa3601e,,,FL25-GIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 1],Multiple,13.1,d2b298f8-cc99-4de5-aecc-64c62edd31d7,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FEGI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 2a],Multiple,13.1,462e9bb8-4f22-4c1b-9209-3c9eb0e9bfe4,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,Only Include If Year <= data label (premium.37.cashValue) ,,,,,,,,,,,,,,,,,,
Banner_FEGI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 2b],Multiple,13.1,57502eee-6130-46e8-95f6-dfc5b2038fbc,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,Only Include If Year <= data label (premium.79.cashValue) ,,,,,,,,,,,,,,,,,,
Banner_FEGI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 2c],Multiple,13.1,92dd2b4f-1281-47ca-9baa-4f5c064ec838,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,Only Include If Year <= data label (premium.121.cashValue) ,,,,,,,,,,,,,,,,,,
