Form Control,State,Excluding State,Form Type,Form Type Description,Form Name,Form Number,Form Priority,Form Key,Form Version,Filed Form Number,Location,Docusign Link,Form Status,Start Date,End Date,Interview ID,Auth Combined,Application Combined,Policy Combined,Policy Packet,Producer Combined,Illustration Combined,Form Owner,Insured/Applicant/Owner Name & Signature,Ethos Agent Signature,Carrier Signature,Ethos Address,Carrier Address,Field Mapping,Internal Doc Type,External Doc Type,Acord Doc Type,External Doc Control,External Form Description,Business Rule,Notes,Required Fields,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",All,VA,Policy Receipt,,Policy Delivery Receipt,LU-1185 (9-15),12.8,b7e4a95d-38f6-4ebf-9cb8-dd3a338849bb,,,LU-1185 (9-15),Link,Pending,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI",VA,,Endorsement,,ENDORSEMENT - VIRGINIA,LU1306-VA,12.8,8ce83858-4484-470e-b601-465546bcbfd0,,,LU1306-VA,Link,Implemented,1900-01-02 00:00:00,,,N,N,Y,Y,N,N,Carrier,N,N,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
"Banner_FESI, Banner_FEGI","IA, NV, NC, OR, UT, WV, WA",,Disclosure,,Small Face Amount Life Insurance Disclosure,ETH25 - SFD,12.9,00f84765-340b-4aab-87c9-e638c746a61d,,,ETH25 - SFD,Link,Pending,1900-01-02 00:00:00,,,N,N,Y,N,N,N,Carrier,Y,N,N,Y,Y,Y,,,,,,"- IA, NV, NC, OR, UT: $15,000 Face Amount or less
- WV: $25,000 Face Amount or or less
- WA: less than $5,000 Face Amount
",,,,,,,,,,,,,,,,,,
Banner_FESI,Compact,"CA, SC, FL",Contract Pages,,[Policy Contract Pages - Part 1],ICC25-SIWL,13.0,cd1cba1a-c1d0-431f-b807-c4f86bbdb259,,,ICC25-SIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FESI,SC,,Contract Pages,,[Policy Contract Pages - Part 1],SC25-SIWL,13.0,9b61b404-a1a2-48b5-a61d-1e6fc40da2d0,,,SC25-SIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FESI,FL,,Contract Pages,,[Policy Contract Pages - Part 1],FL25-SIWL,13.0,3b1ab7e4-b1f0-4228-8e1d-5e97c51906c4,,,FL25-SIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FESI,CA,,Contract Pages,,[Policy Contract Pages - Part 1],CA25-SIWL,13.0,5f287636-3248-40fa-8a8a-4ee0b1b601e8,,,CA25-SIWL,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FESI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 1],Multiple,13.1,5ef22fa7-4593-45b5-94ba-a2201f862ddf,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
Banner_FESI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 2a],Multiple,13.1,177389fa-cef4-471c-bf08-c01619135217,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,Only Include If Year <= data label (premium.37.cashValue) ,,,,,,,,,,,,,,,,,,
Banner_FESI,"Compact, CA, SC, FL",,Contract Pages,,[Policy Contract Pages - Schedule Section 2b],Multiple,13.1,15e2c52d-ba37-453f-b143-297c520e39ab,,,Multiple,Link,Pending,2025-11-14 00:00:00,,,N,N,Y,Y,N,N,Carrier,Y,N,Y,Y,Y,Y,,,,,,Only Include If Year <= data label (premium.79.cashValue) ,,,,,,,,,,,,,,,,,,
