Form Control,State,Excluding State,Form Type,Form Type Description,Form Name,Form Number,Form Priority,Form Key,Form Version,Filed Form Number,Location,Docusign Link,Form Status,Start Date,End Date,Interview ID,Auth Combined,Application Combined,Policy Combined,Policy Packet,Producer Combined,Illustration Combined,Form Owner,Insured/Applicant/Owner Name & Signature,Ethos Agent Signature,Carrier Signature,Ethos Address,Carrier Address,Field Mapping,Internal Doc Type,External Doc Type,Acord Doc Type,External Doc Control,External Form Description,Business Rule,Notes,Required Fields,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application,,Application for Individual Life Insurance ,ICC25A105NAC,41.0,a5242b03-93b9-4ace-ad2a-95a29046bcf0,,,ICC25A105NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application,,Application for Individual Life Insurance (Additional Information Signature Page),ICC25A105NAC,42.0,adcce985-ae43-4ba4-a740-a94c1149ec3a,,,ICC25A105NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,,Application,,Military Sales Disclosure,L-3204,47.1,92e14005-f922-4286-9c40-87fb6d481a67,,,L-3204,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,0.0,,Unknown,Form Trigger: askLabel: military-status-current = Yes,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Application,,Application for Individual Life Insurance,A105NAC-FL,41.0,47a902d6-c70e-4dee-9ace-86994733896a,,,A105NAC-FL,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Application,,Application for Individual Life Insurance (Additional Information Signature Page),A105NAC-FL,42.0,27c81d23-bf45-46c8-a15a-5fd0c2f9d792,,,A105NAC-FL,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,SC,,Application,,Application for Individual Life Insurance,A105NAC,41.0,6cf98848-44a7-4e10-9984-7fa63a33164d,,,A105NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,SC,,Application,,Application for Individual Life Insurance (Additional Information Signature Page),A105NAC,42.0,f68607e6-dc53-4dd4-9f73-8f9a5a537110,,,A105NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,10.0,10.0,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application ,,Application for Individual Life Insurance (Additional Information Dynamic Pages),ICC25A105NAC,41.5,supplemental-info-formkey,,,None,None,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,509.0,10.0,Application Overflow Form,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,SC,,Application,,Application for Individual Life Insurance (Additional Information Dynamic Pages),A105NAC,41.5,supplemental-info-formkey,,,None,None,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,509.0,10.0,Application Overflow Form,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Application,,Application for Individual Life Insurance (Additional Information Dynamic Pages),A105NAC-FL,41.5,supplemental-info-formkey,,,None,None,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Ethos,Y,Y,N,N,Y,Y,,,509.0,10.0,Application Overflow Form,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application,,SUPPLEMENT TO INDIVIDUAL LIFE INSURANCE APPLICATION,ICC22SA101NAC,42.1,57a711a6-898d-4a2c-99fc-10692416f53b,,,ICC22SA101NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,N,N,N,Y,Y,,,10.0,,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,,Application,,Electronic Funds Transfer Authorization,ETH-EFT1-2025,42.2,c4441166-f9be-4935-8652-90926a464e66,,,ETH-EFT1-2025,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,N,N,N,Y,Y,,,123.0,,Electronic Funds Transfer (EFT) Form,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Application,,Amendment of Application (Statement of Good Health),SA107NAC-FL,43.0,de0782c4-311a-4fff-8b3b-1375761fcb23,,,SA107NAC–FL2,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,129.0,,Health Statement,Include for RUW policies only,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,SC,,Application,,Amendment of Application (Statement of Good Health),SA107NAC,43.0,fe408438-64cf-4ab7-a782-2d27088a740b,,,SA107NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,129.0,,Health Statement,Include for RUW policies only,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application,,Amendment of Application (Statement of Good Health),ICC25SA107NAC,43.0,692f06f1-31dc-4458-817e-cffb4ee4c157,,,ICC25SA107NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,129.0,,Health Statement,Include for RUW policies only,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Application,,Amendment of Application (For RUW),SA106NAC-FL,44.0,2bb06c48-1acf-447d-befd-2bc4a8a9c24d,,,SA106NAC-FL,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,130.0,,Amendment,"Included & signed at activation for RUW if being amended, must map amendment text box to white space on form",,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,SC,,Application,,Amendment of Application (For RUW),SA106NAC,44.0,5e886fb5-0fcb-4475-80d4-f8f66945a3df,,,SA106NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,130.0,,Amendment,"Included & signed at activation for RUW if being amended, must map amendment text box to white space on form",,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,Compact,,Application,,Amendment of Application (For RUW),ICC25SA106NAC,44.0,af950a32-d82d-4528-8843-7bcb1940e307,,,ICC25SA106NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,Y,N,Y,,,130.0,,Amendment,"Included & signed at activation for RUW if being amended, must map amendment text box to white space on form",,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,"AR, MN, PA",Disclosure,,INDEXED UNIVERSAL LIFE INSURANCE,L-3190C,45.0,e20339b4-c0e2-4018-a439-50088fe5f723,,,L-3190C,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,Y,N,N,Y,Y,,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,"AR, MN, PA",,Disclosure,,INDEXED UNIVERSAL LIFE INSURANCE,L-3190C-AR,45.0,fb84801e-7cae-4d19-bbb5-47647b320915,,,L-3190C-AR,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,Y,N,N,Y,Y,,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,FL,,Disclosure,,ACCELERATED DEATH BENEFIT ENDORSEMENT SUMMARY AND DISCLOSURE STATEMENT,D103NAC-FL,47.0,ef3c6359-1469-4427-a2c1-a48374df1977,,,D103NAC-FL,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,N,N,N,N,Y,N,,,507.0,,Disclosure Statement for Accelerated Benefits,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,"FL, CA",Disclosure,,ACCELERATED DEATH BENEFIT ENDORSEMENT SUMMARY AND DISCLOSURE STATEMENT,D103NAC,47.0,5533b775-9267-4d10-ac91-23ef737f8602,,,D103NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,N,N,N,N,Y,N,,,507.0,,Disclosure Statement for Accelerated Benefits,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,PA,,Disclosure,,DISCLOSURE STATEMENT,L-2259C,49.0,2e97ad14-e9ea-49b5-b0e2-98319c7ce3ae,,,L-2259C,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,Y,N,N,Y,Y,,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,,Disclosure,,"
Authorization for Release of Health-Related Information",L-3100,51.1,323940af-ac7c-47ad-a5b2-06a3572d052e,,,L-3100,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,Y,N,N,N,Y,Y,,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,All,NM,Application,,CONSUMER PROTECTION NOTICES FOR THE PROPOSED INSURED,L-2978,51.3,20109091-ef82-4aaa-9f1b-174cce4a421d,,,L-2978,Link,Implemented,2025-10-20 00:00:00,,,N,Y,N,N,N,N,Carrier,N,N,N,N,Y,N,,,10.0,,Original Application,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,VT,,Buyer's Guide,,SUPPLEMENT TO LIFE INSURANCE BUYER'S GUIDE FOR FLEXIBLE PREMIUM ADJUSTABLE LIFE INSURANCE WITH INDEXED FEATURES,BG-VT Supp 2024,55.1,1d9fafef-96e0-4151-ae5e-fe5e10faaab0,,,BG-VT Supp 2024,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,N,N,N,N,N,N,,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,AL,,Disclosure,,ARBITRATION AGREEMENT,D101AL-NAC,51.2,234bafc3-e358-4cdb-a291-14815012925a,,,D101AL-NAC,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,Y,N,N,Y,Y,,,508.0,,Acknowledgement of Arbitration Agreement,,,,,,,,,,,,,,,,,,,
IUL_ACCUM_v1,CA,,Disclosure,,Voluntary Electronic Opt‐in Consent Disclosure,L-3221,41.5,49f03eea-1850-4acf-89ff-a051a7292639,,,L-3221,Link,Implemented,2025-10-20 00:00:00,,,N,Y,Y,Y,N,N,Carrier,Y,N,N,N,Y,Y,,,506.0,,Electronic Signature Summary,,,,,,,,,,,,,,,,,,,
